Kategorie: Alle Kategorien

Land,React: (26.04.18 bis 26.04.23),Angular: (26.04.18 bis 26.04.23),AngularJS: (26.04.18 bis 26.04.23),Vue.js: (26.04.18 bis 26.04.23),Backbone.js: (26.04.18 bis 26.04.23)
China,45 %,6 %,< 1 %,49 %,< 1 %
Armenien,66 %,20 %,2 %,12 %,< 1 %
Madagaskar,,,,,
Südkorea,66 %,6 %,1 %,27 %,< 1 %
Tunesien,,,,,
Mongolei,,,,,
Ruanda,,,,,
Nepal,70 %,16 %,2 %,12 %,< 1 %
St. Helena,,,,,
Pakistan,64 %,25 %,3 %,8 %,< 1 %
Israel,54 %,35 %,3 %,8 %,< 1 %
Sri Lanka,55 %,35 %,3 %,7 %,< 1 %
Nordmazedonien,,,,,
Island,,,,,
Kosovo,,,,,
Singapur,60 %,25 %,3 %,12 %,< 1 %
Belarus,59 %,26 %,3 %,12 %,< 1 %
Estland,,,,,
Hongkong,57 %,14 %,2 %,27 %,< 1 %
Äthiopien,,,,,
Bangladesch,66 %,17 %,3 %,14 %,< 1 %
Georgien,,,,,
Indien,44 %,45 %,7 %,4 %,< 1 %
Republik Moldau,,,,,
Finnland,68 %,18 %,2 %,12 %,< 1 %
Litauen,60 %,22 %,3 %,15 %,< 1 %
Serbien,50 %,35 %,2 %,13 %,< 1 %
Schweden,61 %,23 %,2 %,14 %,< 1 %
Vietnam,59 %,22 %,3 %,16 %,< 1 %
Ukraine,55 %,25 %,2 %,18 %,< 1 %
Norwegen,65 %,19 %,1 %,15 %,< 1 %
Myanmar,,,,,
Luxemburg,,,,,
Senegal,,,,,
Nigeria,73 %,13 %,1 %,13 %,< 1 %
Albanien,,,,,
Bulgarien,53 %,33 %,2 %,12 %,< 1 %
Bosnien und Herzegowina,,,,,
Kamerun,,,,,
Cabo Verde,,,,,
Neuseeland,64 %,21 %,3 %,12 %,< 1 %
Kuba,,,,,
Lettland,,,,,
Burundi,,,,,
Rumänien,50 %,35 %,2 %,13 %,< 1 %
Togo,,,,,
Libanon,,,,,
Portugal,53 %,29 %,3 %,15 %,< 1 %
Usbekistan,,,,,
Kenia,62 %,22 %,2 %,14 %,< 1 %
Benin,,,,,
Palästina,,,,,
Montenegro,,,,,
Kanada,57 %,29 %,3 %,11 %,< 1 %
Malta,,,,,
Marokko,49 %,38 %,2 %,11 %,< 1 %
Bhutan,,,,,
Tschechien,58 %,24 %,1 %,17 %,< 1 %
Russland,56 %,17 %,2 %,25 %,< 1 %
Uruguay,,,,,
Kroatien,54 %,30 %,2 %,14 %,< 1 %
Aserbaidschan,,,,,
Gambia,,,,,
Kambodscha,,,,,
Zypern,,,,,
Mauritius,,,,,
Costa Rica,,,,,
Malediven,,,,,
Dänemark,47 %,27 %,3 %,23 %,< 1 %
Schweiz,35 %,46 %,3 %,16 %,< 1 %
Kirgisistan,,,,,
Somalia,,,,,
Australien,60 %,25 %,3 %,12 %,< 1 %
Polen,51 %,33 %,2 %,14 %,< 1 %
Laos,,,,,
Mauretanien,,,,,
Ghana,,,,,
Neukaledonien,,,,,
Irland,54 %,30 %,4 %,12 %,< 1 %
Philippinen,54 %,25 %,3 %,18 %,< 1 %
Malawi,,,,,
Vereinigte Staaten,56 %,30 %,4 %,10 %,< 1 %
Uganda,,,,,
Angola,,,,,
Simbabwe,,,,,
Niederlande,45 %,32 %,2 %,21 %,< 1 %
Ungarn,43 %,40 %,2 %,15 %,< 1 %
Vereinigtes Königreich,56 %,25 %,2 %,17 %,< 1 %
Slowakei,,,,,
Österreich,35 %,46 %,2 %,17 %,< 1 %
Taiwan,41 %,19 %,2 %,38 %,< 1 %
Bolivien,,,,,
Argentinien,56 %,31 %,2 %,11 %,< 1 %
Macau,,,,,
Isle of Man,,,,,
Jordanien,,,,,
Vereinigte Arabische Emirate,54 %,32 %,5 %,9 %,< 1 %
Côte d’Ivoire,,,,,
Kolumbien,41 %,45 %,2 %,12 %,< 1 %
Belgien,42 %,43 %,2 %,13 %,< 1 %
Ägypten,50 %,37 %,2 %,11 %,< 1 %
Slowenien,,,,,
Frankreich,44 %,39 %,3 %,14 %,< 1 %
Brasilien,55 %,29 %,3 %,13 %,< 1 %
Afghanistan,,,,,
Lesotho,,,,,
Gibraltar,,,,,
Deutschland,38 %,40 %,2 %,20 %,< 1 %
Thailand,54 %,24 %,2 %,20 %,< 1 %
El Salvador,,,,,
Spanien,38 %,43 %,3 %,16 %,< 1 %
Nicaragua,,,,,
Südafrika,42 %,43 %,3 %,12 %,< 1 %
Belize,,,,,
Burkina Faso,,,,,
Turkmenistan,,,,,
Malaysia,50 %,30 %,4 %,16 %,< 1 %
Chile,44 %,37 %,3 %,16 %,< 1 %
Paraguay,,,,,
Mosambik,,,,,
Liberia,,,,,
