Kategorie: Alle Kategorien

Woche,React: (Weltweit),Angular: (Weltweit),AngularJS: (Weltweit),Vue.js: (Weltweit),Backbone.js: (Weltweit)
2018-04-29,35,36,11,12,<1
2018-05-06,40,44,12,14,<1
2018-05-13,40,46,12,14,<1
2018-05-20,40,44,12,14,<1
2018-05-27,40,43,12,14,<1
2018-06-03,44,44,13,15,<1
2018-06-10,43,43,12,14,<1
2018-06-17,42,43,11,14,<1
2018-06-24,43,44,12,14,<1
2018-07-01,37,42,11,13,<1
2018-07-08,43,45,11,14,<1
2018-07-15,43,44,11,15,<1
2018-07-22,43,47,10,15,<1
2018-07-29,53,43,11,15,<1
2018-08-05,41,44,11,15,<1
2018-08-12,42,41,10,15,<1
2018-08-19,44,42,10,15,<1
2018-08-26,43,44,10,15,<1
2018-09-02,45,43,10,15,<1
2018-09-09,42,43,10,16,<1
2018-09-16,43,43,10,15,<1
2018-09-23,44,43,10,14,<1
2018-09-30,43,42,9,16,<1
2018-10-07,44,44,11,15,<1
2018-10-14,43,44,9,15,<1
2018-10-21,46,45,10,16,<1
2018-10-28,44,42,9,15,<1
2018-11-04,42,37,8,15,<1
2018-11-11,43,43,9,16,<1
2018-11-18,42,41,9,15,<1
2018-11-25,43,46,9,16,<1
2018-12-02,46,44,10,16,<1
2018-12-09,41,42,9,16,<1
2018-12-16,40,39,8,15,<1
2018-12-23,29,27,6,12,<1
2018-12-30,32,30,6,11,<1
2019-01-06,41,41,9,15,<1
2019-01-13,42,40,8,16,<1
2019-01-20,43,43,8,16,<1
2019-01-27,40,41,8,14,<1
2019-02-03,42,43,8,13,<1
2019-02-10,43,43,8,15,<1
2019-02-17,47,45,8,16,<1
2019-02-24,44,43,8,15,<1
2019-03-03,44,41,8,15,<1
2019-03-10,43,44,8,15,<1
2019-03-17,44,43,8,15,<1
2019-03-24,44,44,8,14,<1
2019-03-31,46,43,8,16,<1
2019-04-07,49,45,8,18,<1
2019-04-14,46,39,7,16,<1
2019-04-21,46,40,7,17,<1
2019-04-28,42,37,6,13,<1
2019-05-05,48,42,7,16,<1
2019-05-12,50,43,8,18,<1
2019-05-19,50,44,8,18,<1
2019-05-26,47,43,8,18,<1
2019-06-02,51,42,7,17,<1
2019-06-09,52,45,8,18,<1
2019-06-16,52,47,7,18,<1
2019-06-23,52,49,8,19,<1
2019-06-30,53,45,7,19,<1
2019-07-07,54,51,8,20,<1
2019-07-14,55,47,8,19,<1
2019-07-21,54,45,7,19,<1
2019-07-28,53,44,7,18,<1
2019-08-04,54,45,7,19,<1
2019-08-11,54,41,6,16,<1
2019-08-18,56,45,7,20,<1
2019-08-25,54,44,6,18,<1
2019-09-01,53,42,6,19,<1
2019-09-08,53,47,7,19,<1
2019-09-15,53,46,7,19,<1
2019-09-22,55,46,7,18,<1
2019-09-29,53,43,6,17,<1
2019-10-06,53,41,6,19,<1
2019-10-13,56,44,7,19,<1
2019-10-20,53,43,6,18,<1
2019-10-27,48,37,5,17,<1
2019-11-03,53,44,6,18,<1
2019-11-10,54,43,6,18,<1
2019-11-17,55,46,6,18,<1
2019-11-24,47,42,5,16,<1
2019-12-01,49,43,6,18,<1
2019-12-08,51,42,6,17,<1
2019-12-15,49,43,6,17,<1
2019-12-22,36,29,4,13,<1
2019-12-29,36,27,4,12,<1
2020-01-05,51,41,6,16,<1
2020-01-12,50,40,5,17,<1
2020-01-19,52,41,6,16,<1
2020-01-26,54,45,5,16,<1
2020-02-02,53,44,5,18,<1
2020-02-09,58,49,6,19,<1
2020-02-16,57,49,6,20,<1
2020-02-23,59,45,6,19,<1
2020-03-01,58,44,5,19,<1
2020-03-08,52,40,5,18,<1
2020-03-15,50,37,4,16,<1
2020-03-22,50,33,4,16,<1
2020-03-29,52,36,4,17,<1
2020-04-05,54,35,4,17,<1
2020-04-12,51,37,4,17,<1
2020-04-19,54,37,4,18,<1
2020-04-26,61,36,4,17,<1
2020-05-03,55,37,4,18,<1
2020-05-10,55,39,4,18,<1
2020-05-17,55,36,4,18,<1
2020-05-24,54,37,4,18,<1
2020-05-31,55,36,4,18,<1
2020-06-07,57,37,4,18,<1
2020-06-14,55,39,4,18,<1
2020-06-21,55,38,4,17,<1
2020-06-28,56,36,4,19,<1
2020-07-05,59,37,4,20,<1
2020-07-12,59,38,4,20,<1
2020-07-19,60,43,4,20,<1
2020-07-26,56,36,4,18,<1
2020-08-02,58,36,4,19,<1
2020-08-09,55,34,4,17,<1
2020-08-16,55,37,4,19,<1
2020-08-23,58,38,4,18,<1
2020-08-30,55,35,4,17,<1
2020-09-06,56,35,4,18,<1
2020-09-13,55,36,4,19,<1
2020-09-20,54,36,4,18,<1
2020-09-27,47,31,3,13,<1
2020-10-04,46,33,3,13,<1
2020-10-11,40,28,3,12,<1
2020-10-18,39,28,3,12,<1
2020-10-25,38,26,3,12,<1
2020-11-01,37,27,3,11,<1
2020-11-08,38,27,3,13,<1
2020-11-15,38,27,2,13,<1
2020-11-22,39,26,2,12,<1
2020-11-29,38,27,2,12,<1
2020-12-06,38,26,3,12,<1
2020-12-13,38,27,3,12,<1
2020-12-20,33,21,2,11,<1
2020-12-27,31,17,2,9,<1
2021-01-03,37,24,2,11,<1
2021-01-10,38,26,2,12,<1
2021-01-17,41,28,3,12,<1
2021-01-24,41,28,3,12,<1
2021-01-31,42,29,3,12,<1
2021-02-07,39,28,3,11,<1
2021-02-14,41,27,3,12,<1
2021-02-21,43,30,3,12,<1
2021-02-28,44,28,3,13,<1
2021-03-07,44,29,3,13,<1
2021-03-14,44,30,3,13,<1
2021-03-21,44,29,2,13,<1
2021-03-28,44,26,2,12,<1
2021-04-04,42,27,2,12,<1
2021-04-11,45,28,2,13,<1
2021-04-18,43,29,3,13,<1
2021-04-25,44,28,2,13,<1
2021-05-02,42,28,2,11,<1
2021-05-09,42,27,2,12,<1
2021-05-16,45,29,2,14,<1
2021-05-23,45,28,2,12,<1
2021-05-30,46,28,3,13,<1
2021-06-06,48,29,2,13,<1
2021-06-13,46,28,3,14,<1
2021-06-20,48,29,3,13,<1
2021-06-27,48,29,2,12,<1
2021-07-04,48,28,2,13,<1
2021-07-11,47,29,2,13,<1
2021-07-18,45,28,2,13,<1
2021-07-25,46,28,2,13,<1
2021-08-01,45,27,2,13,<1
2021-08-08,46,27,2,13,<1
2021-08-15,47,27,2,12,<1
2021-08-22,44,27,2,12,<1
2021-08-29,46,28,2,14,<1
2021-09-05,46,26,2,14,<1
2021-09-12,49,30,3,14,<1
2021-09-19,47,30,2,13,<1
2021-09-26,47,29,2,13,<1
2021-10-03,48,29,2,13,<1
2021-10-10,47,29,2,13,<1
2021-10-17,49,30,2,13,<1
2021-10-24,51,28,2,14,<1
2021-10-31,47,25,2,15,<1
2021-11-07,52,30,2,15,<1
2021-11-14,55,29,2,14,<1
2021-11-21,51,29,2,14,<1
2021-11-28,51,29,2,14,0
2021-12-05,53,29,2,14,<1
2021-12-12,52,30,2,15,<1
2021-12-19,48,26,2,13,<1
2021-12-26,44,20,2,11,<1
2022-01-02,65,32,3,15,<1
2022-01-09,74,36,3,18,<1
2022-01-16,69,38,3,18,<1
2022-01-23,78,38,3,20,<1
2022-01-30,72,38,3,15,<1
2022-02-06,82,41,3,20,<1
2022-02-13,90,44,3,24,<1
2022-02-20,85,39,3,21,<1
2022-02-27,87,42,3,21,<1
2022-03-06,86,40,3,22,<1
2022-03-13,89,40,3,22,<1
2022-03-20,89,43,3,22,<1
2022-03-27,99,44,3,24,<1
2022-04-03,96,43,3,22,<1
2022-04-10,86,38,3,22,<1
2022-04-17,97,42,3,23,<1
2022-04-24,96,41,3,22,<1
2022-05-01,95,36,3,20,<1
2022-05-08,95,43,3,22,<1
2022-05-15,94,40,3,21,<1
2022-05-22,91,37,3,20,<1
2022-05-29,85,38,3,20,<1
2022-06-05,91,39,3,20,<1
2022-06-12,90,36,3,20,<1
2022-06-19,98,40,3,21,<1
2022-06-26,90,39,3,21,<1
2022-07-03,90,39,3,21,<1
2022-07-10,91,37,3,21,<1
2022-07-17,91,39,3,22,<1
2022-07-24,90,38,2,19,<1
2022-07-31,94,38,3,21,<1
2022-08-07,90,36,3,20,<1
2022-08-14,87,35,2,20,<1
2022-08-21,95,38,3,21,<1
2022-08-28,87,35,2,19,<1
2022-09-04,87,37,2,19,<1
2022-09-11,90,38,2,19,<1
2022-09-18,91,39,3,19,<1
2022-09-25,91,37,3,20,<1
2022-10-02,84,33,2,17,<1
2022-10-09,89,36,2,19,<1
2022-10-16,90,36,2,19,<1
2022-10-23,85,32,2,19,<1
2022-10-30,89,34,2,19,<1
2022-11-06,92,37,2,20,<1
2022-11-13,99,39,2,21,<1
2022-11-20,86,37,3,19,<1
2022-11-27,83,36,2,18,<1
2022-12-04,85,34,2,18,<1
2022-12-11,89,37,2,19,<1
2022-12-18,85,35,2,17,<1
2022-12-25,74,26,2,14,<1
2023-01-01,80,32,2,16,<1
2023-01-08,92,36,2,19,<1
2023-01-15,91,35,2,18,<1
2023-01-22,89,35,2,17,<1
2023-01-29,100,38,2,20,<1
2023-02-05,95,39,2,20,<1
2023-02-12,96,39,2,20,<1
2023-02-19,93,39,2,19,<1
2023-02-26,93,36,2,18,<1
2023-03-05,96,36,2,19,<1
2023-03-12,95,37,2,19,<1
2023-03-19,94,37,2,19,<1
2023-03-26,95,36,2,17,<1
2023-04-02,89,33,2,17,<1
2023-04-09,88,31,2,17,<1
2023-04-16,85,33,2,17,<1
